letter_num,description,mss_ocr,edition,salutation,valid_mss,text,pase_refs,pase_keys,scripture_ref,start_page,end_page
Ep. 119,"Alevinus Pippino regi Italiae gratias agit, quod Carolus rex captivos redimi siverit.
Adhortationes addit. 796 ex.

",Cod. T fol. 94'—95 5.,"Ed , Q91, F 33, J 77, — Migne col. 197.",NOBILISSIMO NOBISQUE AMANTISSIMO FILIO PIPPINO! ALBINUS IN CHRISTI DILECTIONE SALUTEM.,T*,False,"['Pippin 3', 'Alcuin 1']","['3496', '1142']",NEEDS MANUAL VALIDATION,174,174
Ep. 120,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S, P, W, G, O*",False,"['Alcuin 1', 'Beornrad 1', 'Willibrord 1', 'Wilgils 2', 'Anonymi 1906', 'Anonymi 1907', 'Wilsgils 1']","['1142', '3527', '875', '3310', '9959', '9960', 'Unknown Key']","[['OF', 'Isai', '56-11'], ['1 Joh', '4', '20']]",174,175
Ep. 121,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, A1*",False,"['Alcuin 1', 'Charlemagne 1', 'Æthelberht 8', 'Anonymous 755', 'Anonymi 1908']","['1142', '247', '10874', '9961', '9962']","[['1 Joh', '4', '20'], ['Eeol', '1', '2']]",175,178
Ep. 122,"Alevinus Osbertum patricium (quondam Offae regis Merciorum ministrum) hortatur,
ne animo cadat. Varia addit de commutatione rerum in Merciorum et Northanhumbrorum
regnis facta; de admonendis regibus ; de Offae mortui regis legibus exercendis, 797,

","Codd. A 1 fol. 136'—138', A1 p. 161—164 n. 115; Willelm. Malmesbir. Gesta reg. Anglor. L. I § 70. 94 duas epistolae partes afferts.",Ed J 79.,,"A1, A1*",False,"['Alcuin 1', 'Osberht 4', 'Ecgfrith 7', 'Offa 7', 'Eardwulf 4', 'Anonymous 756', 'Anonymous 757', 'Anonymi 1909', 'Anonymi 1911', 'Anonymi 1910', 'Anonymous 758']","['1142', '9963', '4467', '305', '7277', '9965', '9966', '9964', '9968', '9967', '9969']",NEEDS MANUAL VALIDATION,178,180
Ep. 123,"Alevinus Coenulfo regi Merciorum constituto gratulatur. Admonitiones addit.

","Cod. H fol. 106'—106'. 797,","Ed . F 169, J 80. — Migne col. 232.",EXCELLENTISSIMO VIRO COENULVO REGI> MERCIORUM HUMILIS LEVITA ALBINUS SALUTEM.,H,False,"['Alcuin 1', 'Cenwulf 3', 'Offa 7', 'Ecgfrith 7', 'Anonymi 1912']","['1142', '2385', '305', '4467', '9971']","[['Eeol', '1', '2'], ['Dent', '10', '2'], ['Exoch', '28', '13'], ['1 Patr', '3', '20']]",180,181
Ep. 124,"Alevinus Higbaldum episcopum Lindisfarnensem multa admonet. Memorat de Ecg-
fridi regis Merciorum obitu inopinato. 797.
","Codd. H fol. 102—104', T fol. 116—117'»,","Ed . Q.108, F'56, 381. — Migne col, 241.",SANCTISSIMO FRATRI ET FILIO CARISSIMO SPERATO EPISCOPO HUMILIS PATER ALBINUS SALUTEM.,"H, T*",False,"['Alcuin 1', 'Hygebald 3', 'Offa 7', 'Ecgfrith 7', 'Gregory 1', 'Ingeld 1']","['1142', '3540', '305', '4467', '280', '9972']","[['1 Patr', '3', '20'], ['Num', '7', '895']]",181,184
Ep. 125,"Alevinus a Leone HII papa petit, ut Eanbaldo II archiepiscopo Eboracensi pallium
tribuat. 797 ante Aug.
","CodCodd. H fol. 102—104', T fol. 116—117'»,","Ed Ed . Q.108, F'56, 381. — Migne col, 241.",,H,False,"['Alcuin 1', 'Leo 1', 'Anonymi 1913', 'Angilberct 1', 'Eanbald 2', 'Gregory 1', 'Anonymi 1914']","['1142', '2009', '9975', '9973', '3513', '280', '9976']",NEEDS MANUAL VALIDATION,184,185
Ep. 126,"Alevinus Carolo regi suadet, ut saltus lunae huic mensi Novembri tribuatur.

797 Nov. mense ineunte.

","Codd. T' fol. \—7' (T fol. 5—6), R (Vat. 226) fol. 7—9', B (Bernensis 83) saec. X fol. 75'—77, quem contulit H. Hagen; Valentianensis 253 (237) fol. 131-135 (V), quem contulit Sackur; initium tantum habent K 1 fol. 23'—24, K 2 p. 67—68, A1 p. 94 n. 59%.","Ed . C 10, Q3, F'61, J 83. — Migne col. 254.",DOMINO DESIDERANTISSIMO ET OMNI SAPIENTIAE DECORE CLARISSIMO DAVID REGI FLACCUS ALBINUS PERPETUAE PACIS ET GLORIAE SALUTEM.,"T, T*, R, B, V, K1, K2, A1*",False,"['Charlemagne 1', 'Alcuin 1']","['247', '1142']",NEEDS MANUAL VALIDATION,185,187
Ep. 127,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,A2,False,"['Hygeberht 1', 'Offa 7', 'Gregory 1', 'Augustine 1']","['2514', '305', '280', '13620']",NEEDS MANUAL VALIDATION,187,189
Ep. 128,"Alevinus Aethelhardo archiepiscopo Cantuariensi scribit, ut derelictae ad tempus
ecclesiae Cantuariensis poenitentiam agat. Addit de archiepiscopatu Lichfeldensi ita
tollendo, ne tamen Hygeberhtus archiepiscopus Lichfeldensis pallio privetur. 797.

","Codd. (A 1 fol. 127—129) A1 p. 149-151 n. 107, A2 fol. 153'—155, H fol. 5‘—7, T fol. 99', in utroque initium deest et hoc fragmentum cum ep. 41 supra p. 84 sic coniunctum est, ut ambae una. esse epistola videantur. Fragmentum huius epistolae praebet Willelm. Malmesbir. sanctaram — honore, Gesta pontiff. Anglor. I § 11 p. 19%.","Ed . Q 67b, Wilkins Conc. Britanniae I, 159, F' 60, Haddan and Stubbs Councils II, 518—520,",SUMMAE DIGNITATIS VIRO ATQUE AECCLESIASTICAE BONITATIS PATRI A'THELHARDO> ARCHIEPISCOPO FIDELIS FILIUS ALCHVINUS PERPETUE BONITATIS IN CHRISTO SALUTEM.,"A1, A1*, A2, H, T*",False,"['Anonymous 759', 'Æthelheard 13', 'Alcuin 1', 'Laurence 2', 'Gregory 1', 'Anonymi 1915', 'Eanbald 2', 'Anonymi 1916', 'Anonymous 760', 'Anonymi 1918', 'Hygeberht 1']","['9977', '2121', '1142', '9216', '280', '9978', '3513', '9979', '9981', '9984', '2514']",NEEDS MANUAL VALIDATION,189,191
Ep. 129,"Alevinus Cantuarienses cohortatur, ut Aethelhardum archiepiscopum revocent eiusque
consilio perturbatum regni statum reficiant. 797.

","Codd. H fol. 66—67', 81 fol. 200—202'.","Ed . F 59, Haddan and Stubbs Councils II, 509-511, J 86. — Migne col. 249.",NOBILISSIME GENTI ET POPULO LAUDABILI ET REGNO IMPERIALI CANTUARIORUM HUMILIS LEVITA ALCHVINUS SALUTEM.,"H, S1",False,"['Alcuin 1', 'Anonymi 1919', 'Æthelheard 13', 'Anonymi 1920', 'Augustine 1', 'Gildas 1', 'Anonymi 1918']","['1142', '9985', '2121', '9987', '13620', '9862', '9984']",NEEDS MANUAL VALIDATION,191,193
Ep. 130,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A1, A1*",False,"['Alcuin 1', 'Anonymi 1920', 'Anonymous 761', 'Anonymi 1921']","['1142', '9987', '9988', '9989']","[['Num', '7', '895'], ['Ecel', '12', '5-7']]",193,193
Ep. 131,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"H, T*, G, I, M",False,['Alcuin 1'],['1142'],"[['Ecel', '12', '5-7'], ['Soph', '3', '3'], ['Ch', 'Ps', '67-14']]",193,198
Ep. 132,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"P, P*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,198,200
Ep. 133,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S, G, E, Z, T",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,200,202
Ep. 134,"Alevinus Oduino presbytero baptismi caeremonias exponit. c. 798.

","CodCodd. H fol. 66—67', 81 fol. 200—202'.","Ed Ed . F 59, Haddan and Stubbs Councils II, 509-511, J 86. — Migne col. 249.",,"N, F, M, E, G, T, B",False,"['Alcuin 1', 'Oduin 1']","['1142', '9827']",NEEDS MANUAL VALIDATION,202,203
Ep. 135,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S, E, G",False,"['Fredegisus 1', 'Alcuin 1', 'Frithugils 2']","['1178', '1142', '10084']",NEEDS MANUAL VALIDATION,203,205
Ep. 136,"Alevinus Carolo regi de duobus evangelii gladiis respondet. Hortatur, ne permittat,
ut presbyleri ab episcopis pracdicare vetentur. Addit de altaribus a contaminatione
tuendis, c. 798.

","Codd. T fol. 12'\—17 (T fol. 11'—15), S fol. 156—162, L fol. 132'\—144, V (Vossian. Lugdun. fol. 70), Parisinus 2183 s. XI (P); initium habent K 1 fol. 26—26', K2 p. 74—75, A1 fol. 85, A 1 p. 97 n. 61%,","Ed . C12, Q6, F 124, J 239. — Migne col. 422.",DOMINO DESIDERABILITER VENERABILI ET VENERABILITER DESIDERABILI> DAVID REGI IN FIDE ET CARITATE FLACCUS¢ ALBINUS? SALUTEM.,"T, T*, S, L, V, P, K1, K2, A1, A1*",False,"['Charlemagne 1', 'Alcuin 1']","['247', '1142']",NEEDS MANUAL VALIDATION,205,210
Ep. 137,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T*, S, Q, G, K1, K2, A1*",False,"['Alcuin 1', 'Gregory 1']","['1142', '280']",NEEDS MANUAL VALIDATION,210,216
Ep. 138,"Alevinus Gothiae incolas cohortatur, ne peccata sacerdotibus confiteri supersedeant.
ec. 798,
","Codd. T fol. 79—81, ubi initium deest (T fol. 81—83'), S 167'—171', K 1 fol. 41'—45', K2 p. 125—136, Q fol. 131'—133', M (cod. Ambros, Mediol. I 89), A1 p. 106—110 nr, 69%.","Ed . C 26, Q 71, F 96, J 277. — Migne col. 337.",DILECTISSIMIS VIRIS FRATRIBUS ET PATRIBUS IN PROVINCIA GOTHORUM HUMILIS ECCLESIAE CHRISTI VERNACULUS ALBINUS4 DIACONUS SALUTEM.,"T, T*, S, K1, K2, Q, M, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,216,220
Ep. 139,"Alevinus Paulini patriarchae Aquileiensis libellum de symboli explanatione laudat
illumque excitat ad refellendos quosdam errores in ecclesia denuo exortos. c. 798.

","Codd. T fol. 85'—86' (T fol. 88—89), K 1 fol. 74—76, K 2 p. 211-217, A 1 p. 138—139 n. 984,","Ed . (60, Q 81, F'97, 794. — Migne col. 341.",DOMINO IN DOMINO DOMINORUM DILECTISSIMO ET PIO PATRI PAULINO PATRIARCHAE SALUTEM.,"T, T*, K1, K2, A1*",False,"['Paulinus 2', 'Alcuin 1']","['3528', '1142']",NEEDS MANUAL VALIDATION,220,222
Ep. 140,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S, K, L, B, A1, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,222,222
Ep. 141,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,T*,False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,222,223
Ep. 142,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,223,224
Ep. 143,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A, T, T*, R, C, M",False,"['Alcuin 1', 'Charlemagne 1', 'Æthelberht 8', 'Anonymi 1922']","['1142', '247', '10874', '9990']",NEEDS MANUAL VALIDATION,224,228
Ep. 144,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S, G, P, A, B",False,,,NEEDS MANUAL VALIDATION,228,231
Ep. 145,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, L, K1, K2, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,231,235
Ep. 146,"Alevinus de Arnonis archiepiscopi Salisburgensis Roma reditu certior fieri cupit et
de Sancto Paulo, de Avaria, de nobilitate Romana, de Graecorum superbia. Significat
dle suo itinere et de Hispanorum haeresi. Tun. 798.

","Codd. § fol. 195—195', S1 fol. 104'—105' (S 1 fol. 5'—7), B fol. 75—76.","Ed . M2, B. Pez Thesaur. anecdotor. II, 1,5, ¥'29, J 101. — Migne col. 190.",VENERANDO VOLUCRI ET VERE AMANTISSIMO AQUILAE ALBINUS SALUTEM.,"S, S1, S1*, B",False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,235,236
Ep. 147,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,S,False,,,NEEDS MANUAL VALIDATION,236,237
Ep. 148,"Alevinus Carolo regi de muneribus a Fredegiso allatis gratias agit. Solis per
zodiacum cursum ad calculos vocat. De Felicis episcopi Urgellitani libello ad se misso
Significat; regemque ad illius haeresim oppugnandam accendit. 798 ante Iul. med.

","Codd, T fol. 19—22' (T fol. 17—19), R (Vatic. 226) fol. 1—4, L fol. 148'—156', Lae. bibl. cap. 490%.","Ed . Q 8, F 68, 599. Excerpta huius epistolae ex cod. Lucensi edidit Mansi, Baluzii Miscell.",DEO DILECTO ATQUE DEO» ELECTO DAVID REGI¢ FLACCUS4 IN FIDE ET CARITATE PERPETUAM IN CHRISTO SALUTEM.,"T, T*, R, L",False,"['Alcuin 1', 'Æthelberht 8', 'Charlemagne 1', 'Fredegisus 1', 'Frithugils 2']","['1142', '10874', '247', '1178', '10084']",NEEDS MANUAL VALIDATION,237,241
Ep. 149,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, A1*",False,"['Charlemagne 1', 'Alcuin 1']","['247', '1142']",NEEDS MANUAL VALIDATION,241,245
Ep. 150,"Alevinus Arnonem archiepiscopum Salisburgensem revertentem videre cupit. De suo
itinere exponit. 798 paullo ante Aug. 4.
","Codd. S fol. 196'—197, S 1 fol. 107—108 (S' 1 fol. 8—8'), B fol. 77'—78"".","Ed . M 4, Bern. Pez Thes. anecd. II, 1,7, F 52, J 102. — Migne col. 235.",DILECTISSIMO PATRI AQUILAE TRANSALPINO ALBINUS MAGISTER SALUTEM.,"S, S1, B",False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,245,246
Ep. 151,"Angilbertus abbas 8. Richarii Centulensis Arnoni archiepiscopo Salisburgensi respondet.
Valetudinem eius miseratur. De Caroli regis itinere. Rem eius sibi curae esse. 798,

","Codd, S fol. 198 (B fol. 50'—51).","Ed . Frobenius IT, 563, Jaffé Biblioth. IV, 368; Formulae ed. Zeumer p. 450 n. 52. — Migne CI, 1319.",CARISSIMO PATRI MIHIQUE CUM NIMIO HONORE VEL AMORE NOMINANDO NOM. EPISCOPO EGO ILL. FIDELISSIMUS FILIUS VESTER PER HOS APICES IN DEO PATRE ET DOMINO IESU CHRISTO OPTAMUS VESTRAE PATERNITATI SEMPITERNAM SALUTEM.,"S, B",False,,,NEEDS MANUAL VALIDATION,246,247
Ep. 152,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,S,False,,,"[['Yoh', '4', '14'], ['Par', '3', '14'], ['1 Paral', '29', '14']]",247,248
Ep. 153,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S, S1, S1*, B",False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,248,249
Ep. 154,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, A1*",False,"['Gisla 1', 'Alcuin 1', 'Frithugils 2']","['1208', '1142', '10084']",NEEDS MANUAL VALIDATION,249,249
Ep. 155,"Alevinus Carolo regi respondet de stellis errantibus, de lunae per zodiacum cursu,
de stella Martis. 798 Sept. in.
","Codd. T fol. 10—12' (T fol. 9—11), R fol. 4—74, finis exstat in L fol. 1524.","Ed . Q6, F'70, J 103. — Migne col. 278.",OMNI VIRTUTUM GENERE NOBILISSIMO ATQUE OMNI SAPIENTIAE DECORE CLARISSIMO DAVID REGI MILES VETERANUS' FLACCUS SALUTEM.,"T, T*, R, L",False,"['Charlemagne 1', 'Alcuin 1', 'Bede 1']","['247', '1142', '424']",NEEDS MANUAL VALIDATION,249,253
Ep. 156,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S, S1a, S1b, S1*",False,"['Arno 1', 'Alcuin 1', 'Candidus 2']","['9847', '1142', '12979']",NEEDS MANUAL VALIDATION,253,255
Ep. 157,"Alevinus Arnoni archiepiscopo Salisburgensi respondet. Epistolae ad se missae tenui-

tatem reprehendit. Se Turonos festinare significat, ewmque ad se venire cupit. De Candido.

798 Sept.
","CodCodd. T fol. 10—12' (T fol. 9—11), R fol. 4—74, finis exstat in L fol. 1524.","Ed Ed . Q6, F'70, J 103. — Migne col. 278.",,"S1, S1*",False,"['Arno 1', 'Alcuin 1', 'Candidus 2']","['9847', '1142', '12979']","[['Mai', '25', '14'], ['CfRom', '11', '5']]",255,256
Ep. 158,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S, S1, S1*",False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,256,257
Ep. 159,"Alevinus Arnonem archiepiscopum Salisburgensem aut hieme Turonis aut proximo
anno in coenobio S. Amandi videre optat. Gaudet, quod Leo III papa immerito iniuria

afficiatur, et quod iter ab Arnone non frustra factum sit. 798 Nov.
","Codd, A 1 fol. 40—41', A1 p, 44 bis — 46 n. 314,",Ed J 108.,J 108. NOBILISSIMO AVIUM AQUILAE ANSER STRIDENTI VOCE SALUTEM.,"A1, A1*",False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,257,258
Ep. 160,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,Cod. Parisinus,False,['Alcuin 1'],['1142'],"[['Kia', '38', '18'], ['2 Thoss', '3', '8']]",258,259
Ep. 161,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,S,False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,259,260
Ep. 162,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*",False,"['Angilberct 1', 'Alcuin 1']","['9973', '1142']",NEEDS MANUAL VALIDATION,260,263
Ep. 163,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, P*, L, G",False,"['Charlemagne 1', 'Alcuin 1', 'Candidus 2']","['247', '1142', '12979']",NEEDS MANUAL VALIDATION,263,266
Ep. 164,"Alevinus Caroli regis Francorum filiae scribit se propter infirmam valetudinem ad
regem non venisse. Sperat fore, ut rex Turonos accedat et Dares Hispanicus a sesc
vincatur.  a. 799 ineunte.

","Codd. S'1 fol. 116' (S1 fol. 17'—18), A1 fol. 63—63', A1 p.69—70 n. 48%,","Ed . M8, F 100, J 132, — Migne ool. 363,",KARISSIMAE> IN CHRISTO FILIE FIDELIS IN KARITATE PATER PERPETUAE PROSPERITATIS SALUTEM.,"S1, S1*, A1, A1*",False,"['Charlemagne 1', 'Alcuin 1']","['247', '1142']",NEEDS MANUAL VALIDATION,266,267
Ep. 165,"Alevinus Arnoni archiepiscopo Salisburgensi, domum reverso ct in monasterium
Elnonense venturo, respondet. De Carolo rege Francorum Turonos petituro. De mandato
coenobii Calensis adeundi; de Angilberto; de Leidrado. 799 c, Ianuar. ex.

","Codd. S fol. 195'—196', S 14 fol. 105'—107, S 1b fol. 128—129' (S1 fol. 7-8, 28'—29), B fol. 76—77'.","Ed , M3. 12, Pez Thesawr. anecdot. I, 1,6, F 87, J 138. — Migne col. 316.",SANCTISSIMO PONTIFICI ET DULCISSIMO FILIO AQUILAE ALBINUS SALUTEM.,"S, S1a, S1b, S1*, B",False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,267,268
Ep. 166,"Alcvinus Elipantum Toletanum episcopum cohortatur, ut et ipse suos de adoptione
et nuncupatione Christi errores abiciat et Felicem Urgellitanum episcopum ceterosque
Hispaniae christianos ad bonam frugem revocet'. 799.

","Codd. P fol. 20—27' (P fol. 16), Parisinus 2388 fol. 1sqq. (Pa), quem contulit Moliniers.","Ed . Quercetanus col. 901-910 ex codice iam deperdito ecclesiae S. Mariae Remensis, Frobenius",VENERABILI ET IN CHRISTI KARITATE AMABILI PATRI ELIPANTO> EPISCOPO ECCLESIASTICAE PACIS¢ FILIUS ALBINUS LEVITA SALUTEM.,"P, P*, Pa",False,"['Elipant 1', 'Alcuin 1']","['1174', '1142']",NEEDS MANUAL VALIDATION,268,274
Ep. 167,"Alevinus Arnonem archiepiscopum Salisburgensem de vita aeterna monet; eumque
se in monasterio Sancti Amandi frustra quaesivisse dolet. 799 Febr. ex.

","Codd. T fol. 75—75', Sia fol. 114'—116, S 1b fol. 195—196 (S1 fol. 15 —17), B fol. 747, Q fol. 127—127', K 1 fol. 54'—55', K2 p. 159-161, A 1 p. 118—119 nr. 75%.","Ed . C35, Q66, F 86, 7109. — Migne col. 315.",CARISSIMO GERMANO AQUILAE> ANTESTITI ALBINUS SALUTEM.,"T*, S1a, S1b, S1*, B, Q, K1, K2, A1*",False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,274,275
Ep. 168,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, S1, S1*, D, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,275,278
Ep. 169,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S1, S1*, D",False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,278,278
Ep. 170,"Alevinus Carolo regi respondet, quas ob causas luna die 18. Martii parum magna
apparuerit. Sed pascha loco suo moveri licitum esse negat. 799 Martio exeunte.

","Codd. T fol. 25'—27 (T fol. 22'—28), P fol. 126—128, R fol. 9 —11', L fol. 163'—167, initium habent K 1 fol. 27, K2 p. 77-78, A1 p. 98 n. 63%,","Ed , C14, Q 10, F 71, J 110. — Migne col. 281,",DOMINO DILECTISSIMO DAVID REGI FLACCUS ALBINUS SALUTEM.,"T, T*, P, R, L, K1, K2, A1*",False,"['Charlemagne 1', 'Alcuin 1']","['247', '1142']","[['2 Thoss', '3', '8'], ['Philipp-3', '13', '8']]",278,281
Ep. 171,"Alevinus Carolo regi respondet. Petit, ut suum adversus Felicem episcopum Urgel-
litanum librum confirmet. Cursus lunaris et incrementi bisseatilis rationes a rege missas
comprobat. Mittit rationem solaris et lunaris per Signiferum cursus. 799 post Mart.

","Codd. T fol. 31—32' (T fol. 28—29), P fol. 119'—121' (P fol. 79'—80), K 1 fol. 16'—18', K2 p. 46—52, L fol. 177'—181', A 1 p, 85—87 n. 544,","Ed . C5, Q14, F'84, J 111. — Migne col. 311.",BENEDICTO> ATQUE OMNI SAPIENTIAE DECORE PRAEFULGIDO DAVID REGI FLACCUS ALBINUS IN CHRISTO SALUTEM.,"T, T*, P, P*, K1, K2, L, A1*",False,"['Charlemagne 1', 'Alcuin 1']","['247', '1142']",NEEDS MANUAL VALIDATION,281,284
Ep. 172,"Alevinus Carolo regi gratias agit, quod suum adversus Felicem episcopum Urgel-
litanum libellum recitari iusserit sibique ad tollenda librarii vitia remiserit. Sed graviorum
errorum indicium desiderat. De scripta Felicis cum Sarraceno disputatione nuntium ad
Laidradum episcopum Lugdunensem missum esse. Addit de disputatione a Petro Pisano
quondam Papiae cum Lullo Iudaco habita. Mittit species dictionum et figuras arithmeticas.
Intermissam a scriptoribus artem interpungendi per Carolum reduci cupit.

799 Apr. — Mai.

","Codd, T fol. 32'—33' (T fol. 29'—30'), P fol. 121'—123 (P fol. 81—82), L fol. 182—184', prior pars in K1 fol. 18'—19, K2 p. 52—54, A1 p. 87—88 n. 55%,","Ed . C 6, Q 15, F 85, J 112. — Migne col. 313.",DOMINO PIISSIMO> ET PRAESTANTISSIMO DAVID4 REGI FLACCUS CARITATIS CALAMO VULNERATUS ! SALUTEM.,"T, T*, P, P*, L, K1, K2, A1*",False,"['Alcuin 1', 'Charlemagne 1', 'Peter 8', 'Lullus 1']","['1142', '247', '10087', '10086']",NEEDS MANUAL VALIDATION,284,286
Ep. 173,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S1, S1*, B",False,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,286,287
Ep. 174,"Alevinus Carolo regi gratias agit, quod de Leone III papa a Romanis crudeliter
tractato se certiorem fecerit. Quo facilius ecclesiae consulat, ut cum Saxonibus pacem
componat hortatur. 799 Tun.

","Codd. T fol. 27—28' (T fol. 24—25), P fol. 128—129' (P fol. 86—87), K1 fol. 14-16, K2 p. 41—46, L fol. 167—-170, A1 p. 83-85 mr. 535.","Ed . C4, Q 11, F80, J 114, — Migne col. 301.",DOMINO PACIFICO DAVID REGI FLACCUS ALBINUS SALUTEM.,"T, T*, P, P*, K1, K2, L, A1*",False,"['Charlemagne 1', 'Alcuin 1']","['247', '1142']",NEEDS MANUAL VALIDATION,287,290
Ep. 175,"Alevinus Adalhardum abbatem Corbeiensem reprehendit, quod ad se neque accedat
neque litteras mittat. Se febri impeditum fuisse, quominus ad eum veniret. De Angilberto.

799 ante Tul. 10.
","Codd. H fol. 97—98, T fol. 115'—116%.","Ed . Q 107, F 144, J 116. — Migne col, 461.",ANTONIO! ALBINUS SALUTEM.,"H, T*",False,"['Adalhard 1', 'Alcuin 1']","['9839', '1142']",NEEDS MANUAL VALIDATION,290,291
